key,value,date,expansion
Account Hijacking,0.3394180372311585,2015-11-02,hack account;hack acct;maine account hack;hack account meng;hack email account;twitter account hack;maine acct hack;maine twitter account hack;maine mendoza twitter account hack;unauthorized access
DDoS Activity,0.01816374480390385,2015-11-02,network infiltrate;slow internet;malicious activity;ddos;phishing attack
Data Breach,0.0094885234050244,2015-11-02,information steal;hacker steal;steal identity;security breach;data leak
Account Hijacking,0.30245797939634916,2015-11-03,unauthorized access;hack account;hack acct;hack maine account;hack account instagram;hack email account;hack aldub account;dabarkads account hack;hack maine acct;maine mendoza account hack;tonto dikeh instagram account hack
DDoS Activity,0.01346466654617748,2015-11-03,vulnerability exploit;ddos;slow internet
Data Breach,0.005602747153442979,2015-11-03,hacker steal;steal identity;security breach;data leak
Account Hijacking,0.0173504427977589,2015-11-04,unauthorized access;hack acct;hack account
DDoS Activity,0.014820169889752394,2015-11-04,vulnerability exploit;network infiltrate;slow internet;anz ddos;ddos
Data Breach,0.014006867883607447,2015-11-04,steal identity;hacker steal;security breach;data leak;data breach;information steal
Account Hijacking,0.012922465208747515,2015-11-05,hack account;account hack
DDoS Activity,0.01726007590818724,2015-11-05,phishing attack;anz ddos;ddos;slow internet;malicious activity
Data Breach,0.08024579793963492,2015-11-05,hacker steal;talktalk data breach;data leak;security breach;data leak;data breach
Account Hijacking,0.010392192300741008,2015-11-06,hack account
DDoS Activity,0.028284836435929876,2015-11-06,ddos;vulnerability exploit;slow internet
Data Breach,0.04238207120910898,2015-11-06,hacker steal;information steal;data breach lizard squad;security breach;data leak;data breach;data security breach
Account Hijacking,0.01057292607988433,2015-11-07,hack account;account hack
DDoS Activity,0.023495391288631845,2015-11-07,vulnerability exploit;slow internet;hacker ddos;ddos
Data Breach,0.013103198987890837,2015-11-07,talktalk security breach;cyber security breach;data leak;security breach;data breach;information steal;steal identity;fbi breach;hacker steal
Account Hijacking,0.12018796313030905,2015-11-08,hack email account;account hack aldub;hack account
DDoS Activity,0.013645400325320802,2015-11-08,phishing attack;malicious activity;ddos;vulnerability exploit;slow internet
Data Breach,0.011205494306885957,2015-11-08,security breach;data leak;data breach;hacker steal;steal identity;privacy breach
Account Hijacking,0.019699981926622086,2015-11-09,unauthorized access;hack account;account hack
DDoS Activity,0.016898608349900597,2015-11-09,network infiltrate;slow internet;vulnerability exploit;protonmail ddos;ddos
Data Breach,0.01617567323332731,2015-11-09,information steal;hacker steal;security breach;data leak;password steal;steal identity
Account Hijacking,0.023676125067775167,2015-11-10,hack account
DDoS Activity,0.01726007590818724,2015-11-10,malicious activity;slow internet;protonmail ddos;ddos;vulnerability exploit
Data Breach,0.13636363636363635,2015-11-10,password steal;data privacy breach;privacy breach;security breach;data leak;data breach;u.s. data breach;#comcast data breach;jpmorgan data breach;#comcast security breach;hacker steal;information steal
Account Hijacking,0.014639436110609073,2015-11-11,hack account;account hack
DDoS Activity,0.016537140791613954,2015-11-11,ddos;malicious activity;slow internet;vulnerability exploit
Data Breach,0.12669437917946863,2015-11-11,steal identity;u.s. data breach;jpmorgan data breach;security breach;data leak;data breach;password steal;hacker steal
Account Hijacking,0.010753659859027652,2015-11-12,hack account
DDoS Activity,0.0094885234050244,2015-11-12,network infiltrate;ddos;malicious activity;slow internet;vulnerability exploit;phishing attack
Data Breach,0.014639436110609073,2015-11-12,hacker steal;security breach;data leak;data breach;steal identity
Account Hijacking,0.011295861196457618,2015-11-13,unauthorized access;account hack;hack account
DDoS Activity,0.011747695644315923,2015-11-13,slow internet;vulnerability exploit;merseyside ddos;ddos
Data Breach,0.00867522139887945,2015-11-13,information steal;security breach;data leak;data breach;#security breach;hacker steal;steal identity
Account Hijacking,0.17431772998373396,2015-11-14,pamm account;at2ui account;xapo account;twitter account;hack aol account;hack account;account hack;unknown account;unauthorized access;#retirement account
DDoS Activity,0.008494487619736129,2015-11-14,vulnerability exploit;slow internet;malicious activity;merseyside ddos;ddos;network infiltrate
Data Breach,0.003253208024579794,2015-11-14,steal identity;security breach;data leak;data breach;hacker steal
Account Hijacking,0.012560997650460872,2015-11-15,hack account;account hack
DDoS Activity,0.0072293511657328755,2015-11-15,slow internet;merseyside ddos;ddos;vulnerability exploit;malicious activity;phishing attack
Data Breach,0.003072474245436472,2015-11-15,fidelity breach;hacker steal;steal identity;security breach;data leak
Account Hijacking,0.0094885234050244,2015-11-16,unauthorized access;hack account
DDoS Activity,0.010844026748599312,2015-11-16,vulnerability exploit;slow internet;scale ddos;ddos
Data Breach,0.007410084944876197,2015-11-16,information steal;hacker steal;security breach;data leak;data breach;steal identity
Account Hijacking,0.013916500994035786,2015-11-17,hack account;unauthorized access
DDoS Activity,0.008042653171877825,2015-11-17,slow internet;ddos;phishing attack;vulnerability exploit
Data Breach,0.017892644135188866,2015-11-17,libya conflict breach;security breach;data leak;data breach;breach feline security;steal identity;hacker steal
Account Hijacking,0.011747695644315923,2015-11-18,hack account;unauthorized access
DDoS Activity,0.00867522139887945,2015-11-18,vulnerability exploit;slow internet;ddos;phishing attack
Data Breach,0.009036688957166094,2015-11-18,breach feline security;security breach;data leak;data breach;steal identity;hacker steal;privacy breach
Account Hijacking,0.013283932767034158,2015-11-19,hack acct;hack account
DDoS Activity,0.008133020061449486,2015-11-19,phishing attack;malicious activity;ddos;slow internet
Data Breach,0.011838062533887583,2015-11-19,password steal;privacy breach;georgia data breach;security breach;data leak;data breach;information steal;hacker steal;steal identity
Account Hijacking,0.010211458521597687,2015-11-20,unauthorized access;hack account
DDoS Activity,0.006054581601301283,2015-11-20,ddos;slow internet;malicious activity;vulnerability exploit
Data Breach,0.01716970901861558,2015-11-20,steal identity;security breach;data leak;data breach;information steal;hacker steal
Account Hijacking,0.01066329296945599,2015-11-21,hack account;unauthorized access
DDoS Activity,0.00668714982830291,2015-11-21,slow internet;network infiltrate;ddos
Data Breach,0.006506416049159588,2015-11-21,steal identity;security breach;data leak;data breach;hacker steal
Account Hijacking,0.008404120730164468,2015-11-22,unauthorized access;hack account
DDoS Activity,0.00569311404301464,2015-11-22,slow internet;vulnerability exploit;ddos
Data Breach,0.03352611603108621,2015-11-22,steal identity;hacker steal;breach starwood data;security breach;data leak;data breach;gatwick security breach
Account Hijacking,0.0037050424724380986,2015-11-23,hack account
DDoS Activity,0.0026206397975781673,2015-11-23,ddos;slow internet
Data Breach,0.003162841135008133,2015-11-23,security breach;data leak;hacker steal
Account Hijacking,0.0076811856135911806,2015-11-24,account hack;hack account
DDoS Activity,0.007048617386589554,2015-11-24,ddos;slow internet;vulnerability exploit;malicious activity;network infiltrate
Data Breach,0.03171877823965299,2015-11-24,information steal;pearson vue breach;security breach;data leak;data breach;data security breach;pearson security breach;opm data breach;cyber breach;cyber security breach;airspace breach;steal identity;hacker steal
Account Hijacking,0.010211458521597687,2015-11-25,hack account
DDoS Activity,0.0094885234050244,2015-11-25,phishing attack;slow internet;ddos;vulnerability exploit
Data Breach,0.014097234773179108,2015-11-25,information steal;security breach;data leak;data breach;#undertech data breach;breach pos terminal malware;steal identity;hacker steal
Account Hijacking,0.006958250497017893,2015-11-26,hack account;account hack
DDoS Activity,0.006506416049159588,2015-11-26,vulnerability exploit;slow internet;ddos
Data Breach,0.007500451834447858,2015-11-26,security breach;data leak;hacker steal;information steal
Account Hijacking,0.0076811856135911806,2015-11-27,hack account
DDoS Activity,0.008765588288451111,2015-11-27,vulnerability exploit;ransom ddos;ddos;slow internet;malicious activity
Data Breach,0.006958250497017893,2015-11-27,security breach;data leak;data breach;hacker steal
Account Hijacking,0.0076811856135911806,2015-11-28,unauthorized access;hack account
DDoS Activity,0.004879812036869691,2015-11-28,ddos;slow internet;vulnerability exploit
Data Breach,0.006054581601301283,2015-11-28,vtech breach;vtech data breach;hacker steal;security breach;data leak;data breach;information steal
Account Hijacking,0.007410084944876197,2015-11-29,hack account
DDoS Activity,0.003343574914151455,2015-11-29,network infiltrate;slow internet;vulnerability exploit;ddos
Data Breach,0.005873847822157961,2015-11-29,security breach;data leak;data breach;hacker steal;steal identity
Account Hijacking,0.002982107355864811,2015-11-30,hack account
DDoS Activity,0.0026206397975781673,2015-11-30,slow internet;phishing attack;malicious activity;ddos
Data Breach,0.00668714982830291,2015-11-30,security breach;data leak;data breach;hacker steal
Account Hijacking,0.009307789625881076,2015-12-01,hack account;unauthorized access
DDoS Activity,0.006054581601301283,2015-12-01,ddos;phishing attack;vulnerability exploit;slow internet
Data Breach,0.0363274896078077,2015-12-01,steal identity;hacker steal;security breach;data leak;data breach
Account Hijacking,0.018886679920477135,2015-12-02,hack account
DDoS Activity,0.007048617386589554,2015-12-02,malicious activity;slow internet;vulnerability exploit;phishing attack;ddos
Data Breach,0.02412795951563347,2015-12-02,toymaker breach;hacker steal;security breach;data leak;data breach;#data breach;mcglynn breach;vtech data breach;breach vtech security;vtech breach
Account Hijacking,0.012109163202602566,2015-12-03,hack account;unauthorized access
DDoS Activity,0.006506416049159588,2015-12-03,network infiltrate;ddos;slow internet;vulnerability exploit;malicious activity
Data Breach,0.030995843123079705,2015-12-03,steal identity;information steal;security breach;data leak;data breach;vtech data breach;hacker steal
Account Hijacking,0.006416049159587927,2015-12-04,unauthorized access;hack account
DDoS Activity,0.00478944514729803,2015-12-04,slow internet;ddos;vulnerability exploit
Data Breach,0.017983011024760527,2015-12-04,information steal;security breach;data leak;data breach;security breach toymaker;hacker steal;steal identity
Account Hijacking,0.007952286282306162,2015-12-05,hack account;account hack;unauthorized access
